DATE,"BlackRock, Inc.",Jefferies Financial Group Inc.,Sun Life Financial Inc.
1/31/2019,415.08,19.48,36.09
2/1/2019,416.81,19.37,36.36
2/4/2019,417.98,19.55,36.18
2/5/2019,417.56,19.44,36.43
2/6/2019,416.39,19.26,36.10
2/7/2019,415.01,18.79,35.76
2/8/2019,411.76,18.58,35.68
2/11/2019,412.70,18.79,35.09
2/12/2019,425.51,19.17,35.50
2/13/2019,427.45,19.32,34.96
2/14/2019,423.38,19.05,35.25
2/15/2019,431.95,19.68,37.01
2/19/2019,431.07,19.68,37.10
2/20/2019,437.22,19.52,37.62
2/21/2019,435.02,19.13,37.59
2/22/2019,436.72,18.95,37.81
2/25/2019,438.93,18.99,38.23
2/26/2019,440.53,19.07,38.41
2/27/2019,442.01,19.12,38.88
2/28/2019,443.22,18.97,37.80
3/1/2019,443.77,19.24,37.88
3/4/2019,437.33,18.75,38.14
3/5/2019,432.52,18.59,38.11
3/6/2019,429.86,18.29,37.92
3/7/2019,423.19,17.67,37.62
3/8/2019,421.31,17.74,37.55
3/11/2019,428.10,17.94,37.75
3/12/2019,427.84,18.13,37.96
3/13/2019,431.84,18.46,38.26
3/14/2019,433.63,18.23,37.98
3/15/2019,433.55,18.19,38.32
3/18/2019,440.48,18.63,38.64
3/19/2019,434.57,18.49,38.99
3/20/2019,429.92,18.08,38.51
3/21/2019,430.36,17.99,38.41
3/22/2019,417.36,17.29,37.45
3/25/2019,415.41,17.23,37.48
3/26/2019,422.67,17.53,37.78
3/27/2019,419.64,17.50,38.13
3/28/2019,424.97,17.63,38.19
3/29/2019,427.37,17.59,38.41
4/1/2019,438.39,18.04,39.15
4/2/2019,436.45,18.14,39.13
4/3/2019,439.07,18.40,39.44
4/4/2019,441.84,18.62,39.31
4/5/2019,445.10,18.77,39.45
4/8/2019,446.14,18.80,39.73
4/9/2019,439.81,18.55,39.38
4/10/2019,442.76,18.66,39.52
4/11/2019,446.11,18.52,39.81
4/12/2019,454.35,19.06,40.17
4/15/2019,451.86,18.86,40.21
4/16/2019,466.54,18.78,40.81
4/17/2019,467.49,18.96,40.84
4/18/2019,465.69,18.87,40.97
4/22/2019,464.02,18.63,41.00
4/23/2019,474.03,18.82,41.19
4/24/2019,480.17,18.96,40.71
4/25/2019,474.45,18.96,40.96
4/26/2019,478.98,19.11,40.99
4/29/2019,479.84,19.27,41.33
4/30/2019,485.24,19.26,41.53
